temperature,humidity,ac_on,lights_on,tv_on,power_watts,recorded_at
26.96,63.19,0,1,1,115.88,2026-01-02 08:00:00
23.83,65.18,1,1,0,1028.53,2026-01-02 09:00:00
29.47,56.13,1,1,1,1303.05,2026-01-02 10:00:00
23.34,72.59,1,1,1,1103.13,2026-01-02 11:00:00
27.63,50.19,1,1,1,1449.84,2026-01-02 12:00:00
21.12,48.29,1,1,1,1208.63,2026-01-02 13:00:00
23.02,61.8,0,1,0,28.18,2026-01-02 14:00:00
27.59,68.38,1,1,0,1331.55,2026-01-02 15:00:00
29.22,73.47,0,0,1,102.77,2026-01-02 16:00:00
27.51,56.33,1,0,1,1217.07,2026-01-02 17:00:00
26.65,68.63,1,1,0,1267.33,2026-01-02 18:00:00
26.1,59.69,1,0,0,1129.71,2026-01-02 19:00:00
22.56,58.62,1,1,0,1241.72,2026-01-02 20:00:00
24.84,67.07,1,1,0,1172.38,2026-01-02 21:00:00
25.62,65.22,0,1,0,30.83,2026-01-02 22:00:00
30.17,47.39,1,1,1,1061.33,2026-01-02 23:00:00
28.03,71.81,0,0,1,100.08,2026-01-03 00:00:00
21.71,71.04,1,1,0,1170.53,2026-01-03 01:00:00
27.97,55.0,0,1,0,31.12,2026-01-03 02:00:00
25.84,63.17,0,1,0,32.24,2026-01-03 03:00:00
24.97,63.95,1,0,0,1333.48,2026-01-03 04:00:00
28.84,62.09,0,1,1,129.86,2026-01-03 05:00:00
30.09,55.6,1,0,1,1285.95,2026-01-03 06:00:00
29.79,54.63,0,0,0,23.15,2026-01-03 07:00:00
24.48,59.8,0,0,1,100.33,2026-01-03 08:00:00
26.07,69.38,1,0,1,1354.35,2026-01-03 09:00:00
27.99,64.35,0,1,1,110.0,2026-01-03 10:00:00
29.93,57.04,0,0,0,23.94,2026-01-03 11:00:00
25.56,66.17,1,1,1,1142.7,2026-01-03 12:00:00
26.44,37.21,0,1,0,39.07,2026-01-03 13:00:00
23.68,69.19,1,1,0,1145.36,2026-01-03 14:00:00
23.41,46.08,0,0,0,17.58,2026-01-03 15:00:00
29.44,57.1,0,1,0,38.83,2026-01-03 16:00:00
31.07,51.04,1,1,0,1377.58,2026-01-03 17:00:00
26.78,49.64,0,1,0,28.83,2026-01-03 18:00:00
30.01,69.29,0,0,0,22.38,2026-01-03 19:00:00
28.08,56.26,0,1,1,113.62,2026-01-03 20:00:00
25.06,62.77,0,1,1,125.61,2026-01-03 21:00:00
28.08,59.62,1,1,0,1355.44,2026-01-03 22:00:00
31.61,63.82,0,0,1,99.69,2026-01-03 23:00:00
26.89,60.61,1,1,1,1192.75,2026-01-04 00:00:00
31.69,49.74,1,0,1,1205.42,2026-01-04 01:00:00
19.14,67.97,1,0,0,1061.76,2026-01-04 02:00:00
29.47,56.05,1,1,1,1392.92,2026-01-04 03:00:00
27.26,47.55,0,0,1,111.26,2026-01-04 04:00:00
26.1,56.58,1,0,1,1485.73,2026-01-04 05:00:00
27.28,72.01,0,0,0,14.1,2026-01-04 06:00:00
21.04,66.8,1,1,0,1341.03,2026-01-04 07:00:00
26.34,57.21,1,1,1,1262.5,2026-01-04 08:00:00
28.07,57.21,0,1,0,27.65,2026-01-04 09:00:00
31.43,57.43,1,1,0,1315.98,2026-01-04 10:00:00
25.45,76.61,1,0,0,1259.93,2026-01-04 11:00:00
24.57,63.06,0,1,1,137.2,2026-01-04 12:00:00
25.49,63.44,0,1,1,125.4,2026-01-04 13:00:00
29.75,68.24,1,0,0,1257.06,2026-01-04 14:00:00
27.99,61.91,1,1,1,1454.9,2026-01-04 15:00:00
25.41,57.93,1,1,0,1354.57,2026-01-04 16:00:00
28.54,58.43,1,0,1,1345.08,2026-01-04 17:00:00
27.29,59.43,1,0,1,1376.66,2026-01-04 18:00:00
29.91,59.7,1,0,1,1389.3,2026-01-04 19:00:00
24.89,65.82,0,0,1,124.33,2026-01-04 20:00:00
26.02,60.42,0,1,0,32.94,2026-01-04 21:00:00
25.82,65.86,1,1,1,1197.52,2026-01-04 22:00:00
22.61,59.35,1,1,0,1337.82,2026-01-04 23:00:00
27.89,60.63,0,1,1,145.19,2026-01-05 00:00:00
27.78,44.01,0,0,1,91.06,2026-01-05 01:00:00
27.02,67.33,1,1,1,1231.57,2026-01-05 02:00:00
26.3,62.77,1,1,0,1285.85,2026-01-05 03:00:00
22.75,67.98,1,1,1,1332.7,2026-01-05 04:00:00
25.74,36.83,1,1,0,1070.88,2026-01-05 05:00:00
25.97,76.71,0,1,0,38.41,2026-01-05 06:00:00
24.59,58.88,0,1,1,114.06,2026-01-05 07:00:00
26.52,68.87,0,1,0,31.83,2026-01-05 08:00:00
28.21,51.68,0,0,1,143.86,2026-01-05 09:00:00
32.66,64.9,1,0,0,1258.22,2026-01-05 10:00:00
27.52,51.57,1,0,0,1120.37,2026-01-05 11:00:00
27.77,55.01,1,1,1,1283.67,2026-01-05 12:00:00
26.78,75.31,1,1,0,1190.31,2026-01-05 13:00:00
21.24,58.47,0,1,0,27.57,2026-01-05 14:00:00
26.92,61.74,1,1,1,1500.41,2026-01-05 15:00:00
27.18,66.96,1,1,0,1148.65,2026-01-05 16:00:00
34.39,63.97,1,1,1,1466.73,2026-01-05 17:00:00
26.42,61.2,0,0,0,6.13,2026-01-05 18:00:00
27.9,62.92,1,0,1,1194.31,2026-01-05 19:00:00
26.9,79.23,1,1,1,1264.57,2026-01-05 20:00:00
23.49,59.54,0,1,1,115.52,2026-01-05 21:00:00
30.43,61.61,0,1,0,36.1,2026-01-05 22:00:00
29.26,68.41,1,0,1,1341.25,2026-01-05 23:00:00
29.37,68.84,1,0,1,1311.24,2026-01-06 00:00:00
24.27,69.5,0,1,1,118.6,2026-01-06 01:00:00
31.21,65.11,1,0,0,1290.07,2026-01-06 02:00:00
22.79,50.86,0,0,1,123.49,2026-01-06 03:00:00
28.76,73.07,1,1,1,1374.97,2026-01-06 04:00:00
33.57,50.83,0,0,0,17.51,2026-01-06 05:00:00
24.03,62.42,1,1,0,1122.3,2026-01-06 06:00:00
25.3,53.97,0,0,1,145.26,2026-01-06 07:00:00
27.3,59.49,0,0,0,21.09,2026-01-06 08:00:00
25.49,62.63,0,1,1,125.6,2026-01-06 09:00:00
22.35,62.57,0,1,1,130.69,2026-01-06 10:00:00
27.21,63.38,1,1,1,1229.47,2026-01-06 11:00:00
23.81,72.91,0,1,0,41.92,2026-01-06 12:00:00
28.42,63.63,1,0,0,1253.17,2026-01-06 13:00:00
24.24,58.05,0,1,1,77.08,2026-01-06 14:00:00
31.65,67.71,0,0,0,23.35,2026-01-06 15:00:00
24.65,69.52,0,1,1,130.21,2026-01-06 16:00:00
26.03,50.18,0,1,0,22.75,2026-01-06 17:00:00
29.44,64.78,0,1,0,34.39,2026-01-06 18:00:00
23.31,65.61,1,1,0,1440.53,2026-01-06 19:00:00
27.68,57.62,1,0,0,1337.65,2026-01-06 20:00:00
30.92,71.01,1,0,1,1434.72,2026-01-06 21:00:00
22.18,58.8,1,1,0,1100.53,2026-01-06 22:00:00
27.55,61.0,1,1,0,1306.4,2026-01-06 23:00:00
27.78,58.62,0,1,0,24.22,2026-01-07 00:00:00
29.35,60.12,1,0,0,1154.65,2026-01-07 01:00:00
23.29,51.23,1,1,0,1257.69,2026-01-07 02:00:00
23.04,48.48,1,0,1,1424.51,2026-01-07 03:00:00
28.57,72.76,1,1,0,1285.15,2026-01-07 04:00:00
27.89,53.22,0,1,0,30.22,2026-01-07 05:00:00
27.75,52.07,1,1,0,1303.28,2026-01-07 06:00:00
28.04,42.77,1,0,1,1263.17,2026-01-07 07:00:00
24.96,54.89,1,1,0,1249.4,2026-01-07 08:00:00
27.7,49.42,1,1,0,1190.36,2026-01-07 09:00:00
27.88,73.14,0,1,1,118.11,2026-01-07 10:00:00
24.86,68.08,0,1,0,32.35,2026-01-07 11:00:00
32.6,54.49,1,1,0,1134.41,2026-01-07 12:00:00
28.42,78.02,1,1,0,1429.66,2026-01-07 13:00:00
23.43,67.85,0,1,1,112.16,2026-01-07 14:00:00
28.97,57.4,0,0,0,26.75,2026-01-07 15:00:00
24.08,40.0,0,0,1,126.53,2026-01-07 16:00:00
29.36,78.33,0,1,1,125.47,2026-01-07 17:00:00
30.48,48.88,1,0,0,1210.01,2026-01-07 18:00:00
24.54,46.84,1,1,0,1222.29,2026-01-07 19:00:00
29.89,68.18,0,1,0,34.72,2026-01-07 20:00:00
28.24,79.52,0,1,1,151.78,2026-01-07 21:00:00
29.47,71.07,0,1,0,31.77,2026-01-07 22:00:00
32.69,64.51,0,1,0,42.4,2026-01-07 23:00:00
26.26,64.76,1,1,0,1311.31,2026-01-08 00:00:00
24.74,66.83,1,0,1,1206.4,2026-01-08 01:00:00
24.33,66.07,1,1,0,1228.21,2026-01-08 02:00:00
24.55,62.25,0,0,1,100.28,2026-01-08 03:00:00
26.77,60.83,1,1,0,1138.16,2026-01-08 04:00:00
28.02,59.5,1,1,0,1270.04,2026-01-08 05:00:00
27.83,53.97,1,1,0,1173.84,2026-01-08 06:00:00
29.48,57.75,1,0,0,1284.47,2026-01-08 07:00:00
27.04,46.46,0,1,0,22.25,2026-01-08 08:00:00
31.36,59.21,0,1,0,26.3,2026-01-08 09:00:00
26.21,52.09,0,0,1,121.96,2026-01-08 10:00:00
35.16,51.17,0,0,1,146.44,2026-01-08 11:00:00
28.88,61.44,0,0,1,121.49,2026-01-08 12:00:00
24.43,71.14,1,1,0,1167.71,2026-01-08 13:00:00
23.79,67.35,1,0,0,1303.45,2026-01-08 14:00:00
28.45,47.44,1,1,0,1104.34,2026-01-08 15:00:00
26.33,52.08,0,1,1,141.7,2026-01-08 16:00:00
29.14,67.53,1,1,1,1347.83,2026-01-08 17:00:00
28.42,52.14,1,0,0,1154.93,2026-01-08 18:00:00
26.78,58.2,1,1,0,1201.16,2026-01-08 19:00:00
24.46,64.4,1,1,0,1309.0,2026-01-08 20:00:00
22.46,52.25,1,1,0,1180.22,2026-01-08 21:00:00
25.66,60.84,1,1,0,1151.43,2026-01-08 22:00:00
29.57,49.33,0,1,1,138.43,2026-01-08 23:00:00
27.64,55.19,0,1,1,110.77,2026-01-09 00:00:00
23.26,62.56,0,1,0,32.23,2026-01-09 01:00:00
27.52,47.26,0,1,0,26.49,2026-01-09 02:00:00
28.16,63.52,0,0,1,85.96,2026-01-09 03:00:00
24.35,59.84,1,0,0,1246.89,2026-01-09 04:00:00
27.46,64.42,1,0,0,1124.88,2026-01-09 05:00:00
27.17,61.79,1,1,0,1234.55,2026-01-09 06:00:00
23.57,70.91,0,1,0,39.6,2026-01-09 07:00:00
28.07,61.0,1,1,0,1218.82,2026-01-09 08:00:00
28.68,56.56,1,1,1,1447.3,2026-01-09 09:00:00
30.25,60.98,0,1,0,25.52,2026-01-09 10:00:00
30.16,64.35,1,1,0,1322.5,2026-01-09 11:00:00
22.87,60.39,0,1,1,123.15,2026-01-09 12:00:00
24.19,60.32,0,1,0,35.93,2026-01-09 13:00:00
28.55,54.38,1,0,1,1251.17,2026-01-09 14:00:00
28.54,54.7,0,0,1,105.37,2026-01-09 15:00:00
28.55,48.78,1,0,0,1270.8,2026-01-09 16:00:00
38.56,74.0,1,1,1,1105.76,2026-01-09 17:00:00
28.71,50.05,1,1,0,1240.67,2026-01-09 18:00:00
30.41,54.46,0,1,1,145.13,2026-01-09 19:00:00
29.86,54.25,0,0,0,12.14,2026-01-09 20:00:00
28.95,67.16,0,1,1,117.07,2026-01-09 21:00:00
26.05,57.64,1,1,1,1352.9,2026-01-09 22:00:00
29.28,69.98,1,0,0,1352.29,2026-01-09 23:00:00
24.68,54.61,0,1,0,30.98,2026-01-10 00:00:00
26.29,62.23,1,0,1,1412.08,2026-01-10 01:00:00
25.54,53.32,1,1,1,1511.19,2026-01-10 02:00:00
27.25,77.16,0,1,0,29.7,2026-01-10 03:00:00
33.94,50.5,1,0,1,1211.42,2026-01-10 04:00:00
21.4,62.48,1,0,0,1190.98,2026-01-10 05:00:00
29.06,65.07,0,1,0,24.97,2026-01-10 06:00:00
22.16,63.31,0,1,0,28.06,2026-01-10 07:00:00
25.58,58.52,1,1,0,1300.56,2026-01-10 08:00:00
30.27,58.96,1,1,1,1250.99,2026-01-10 09:00:00
27.19,60.35,1,1,0,1241.28,2026-01-10 10:00:00
23.77,58.82,1,1,1,1129.54,2026-01-10 11:00:00
24.85,67.71,0,1,0,30.04,2026-01-10 12:00:00
29.04,77.68,0,1,0,30.23,2026-01-10 13:00:00
24.81,55.54,1,1,0,1244.09,2026-01-10 14:00:00
27.65,49.04,0,1,0,21.49,2026-01-10 15:00:00
27.14,59.29,0,1,0,32.48,2026-01-10 16:00:00
25.05,80.64,1,1,0,955.07,2026-01-10 17:00:00
33.43,53.57,1,0,0,1211.77,2026-01-10 18:00:00
28.9,73.11,1,1,0,1223.08,2026-01-10 19:00:00
20.92,73.42,1,1,0,1181.98,2026-01-10 20:00:00
27.56,55.57,0,0,0,17.48,2026-01-10 21:00:00
25.01,64.55,1,1,1,1242.85,2026-01-10 22:00:00
29.56,73.03,0,1,1,128.71,2026-01-10 23:00:00
24.62,56.97,1,0,0,1269.23,2026-01-11 00:00:00
26.66,58.37,1,1,0,1362.18,2026-01-11 01:00:00
28.51,55.35,1,0,0,1158.79,2026-01-11 02:00:00
29.6,51.88,1,0,1,1270.99,2026-01-11 03:00:00
23.4,54.81,1,1,0,1331.95,2026-01-11 04:00:00
26.0,50.21,0,1,0,34.71,2026-01-11 05:00:00
25.58,60.27,1,0,0,1070.87,2026-01-11 06:00:00
25.04,53.84,1,1,0,1175.53,2026-01-11 07:00:00
32.3,61.87,0,1,0,37.13,2026-01-11 08:00:00
28.21,47.55,1,0,1,1395.86,2026-01-11 09:00:00
23.22,62.65,1,0,0,1161.34,2026-01-11 10:00:00
29.75,66.67,0,1,1,125.42,2026-01-11 11:00:00
33.37,44.05,1,0,0,1266.83,2026-01-11 12:00:00
30.1,62.99,1,1,0,1106.14,2026-01-11 13:00:00
22.44,69.82,1,1,1,1130.81,2026-01-11 14:00:00
25.55,50.32,1,1,0,940.09,2026-01-11 15:00:00
30.8,73.38,1,0,1,1374.57,2026-01-11 16:00:00
24.88,63.35,1,1,0,1244.19,2026-01-11 17:00:00
28.33,54.36,1,1,0,1201.56,2026-01-11 18:00:00
29.32,59.55,0,1,1,124.72,2026-01-11 19:00:00
24.22,64.47,1,0,0,1288.46,2026-01-11 20:00:00
26.82,60.61,1,0,1,1505.84,2026-01-11 21:00:00
17.28,64.31,0,1,0,21.42,2026-01-11 22:00:00
23.93,52.63,1,1,1,1327.85,2026-01-11 23:00:00
26.24,61.35,1,0,0,1053.34,2026-01-12 00:00:00
23.26,48.69,0,1,0,28.58,2026-01-12 01:00:00
31.9,59.11,1,0,1,1304.52,2026-01-12 02:00:00
22.71,52.77,1,1,1,1387.74,2026-01-12 03:00:00
25.68,54.12,1,1,1,1324.74,2026-01-12 04:00:00
27.39,69.89,0,1,1,141.74,2026-01-12 05:00:00
31.32,68.73,0,1,1,127.49,2026-01-12 06:00:00
22.69,64.87,0,1,0,28.72,2026-01-12 07:00:00
30.49,51.26,1,1,0,1210.09,2026-01-12 08:00:00
27.03,57.47,0,1,0,21.23,2026-01-12 09:00:00
24.06,69.7,1,1,0,1263.16,2026-01-12 10:00:00
28.39,61.13,0,1,0,26.46,2026-01-12 11:00:00
27.6,78.55,0,0,0,26.86,2026-01-12 12:00:00
25.2,63.15,1,0,0,1192.39,2026-01-12 13:00:00
27.21,61.54,1,1,1,1285.06,2026-01-12 14:00:00
25.84,57.53,0,1,0,32.36,2026-01-12 15:00:00
27.34,61.07,1,1,0,1307.33,2026-01-12 16:00:00
28.99,58.78,0,0,0,23.21,2026-01-12 17:00:00
31.76,65.66,1,1,1,1245.27,2026-01-12 18:00:00
23.29,67.65,1,1,1,1494.32,2026-01-12 19:00:00
33.4,53.71,0,1,1,134.31,2026-01-12 20:00:00
21.14,49.35,0,1,0,34.46,2026-01-12 21:00:00
26.54,45.31,0,1,0,40.74,2026-01-12 22:00:00
28.76,64.06,1,1,0,1058.88,2026-01-12 23:00:00
27.84,51.17,1,1,0,1280.42,2026-01-13 00:00:00
25.13,42.78,0,0,0,18.55,2026-01-13 01:00:00
26.38,63.11,1,1,0,1307.45,2026-01-13 02:00:00
25.52,79.94,0,1,0,28.33,2026-01-13 03:00:00
25.23,59.95,0,1,1,131.74,2026-01-13 04:00:00
29.55,66.71,1,0,1,1399.12,2026-01-13 05:00:00
28.07,60.65,1,1,0,1315.36,2026-01-13 06:00:00
24.92,59.21,1,1,0,1251.76,2026-01-13 07:00:00
29.7,67.35,1,0,0,1199.53,2026-01-13 08:00:00
27.92,57.68,0,1,0,27.29,2026-01-13 09:00:00
29.44,62.14,1,1,1,1486.74,2026-01-13 10:00:00
28.89,62.57,0,1,0,39.81,2026-01-13 11:00:00
24.51,54.66,1,1,1,1232.38,2026-01-13 12:00:00
25.32,67.94,0,0,0,24.51,2026-01-13 13:00:00
29.24,58.6,1,1,1,1244.66,2026-01-13 14:00:00
28.83,53.95,0,0,0,22.72,2026-01-13 15:00:00
26.94,64.29,0,1,1,101.96,2026-01-13 16:00:00
27.35,52.81,1,1,0,1182.39,2026-01-13 17:00:00
30.83,60.23,0,1,1,141.28,2026-01-13 18:00:00
25.23,59.93,1,0,0,1241.32,2026-01-13 19:00:00
28.64,68.69,0,1,0,40.13,2026-01-13 20:00:00
26.39,63.8,0,1,1,136.1,2026-01-13 21:00:00
26.35,59.8,0,1,1,146.32,2026-01-13 22:00:00
30.3,66.54,0,1,1,124.13,2026-01-13 23:00:00
29.48,71.12,1,1,1,1402.33,2026-01-14 00:00:00
29.44,64.46,0,1,1,140.38,2026-01-14 01:00:00
30.92,60.08,1,1,0,1246.65,2026-01-14 02:00:00
27.06,49.51,1,0,0,1177.34,2026-01-14 03:00:00
29.05,51.48,1,0,0,1125.17,2026-01-14 04:00:00
26.07,57.56,1,1,1,1179.28,2026-01-14 05:00:00
27.97,55.12,1,1,0,1295.46,2026-01-14 06:00:00
26.61,58.5,1,1,0,1293.56,2026-01-14 07:00:00
27.29,60.45,0,1,0,27.5,2026-01-14 08:00:00
28.79,64.24,0,0,1,101.06,2026-01-14 09:00:00
24.55,59.44,1,1,0,1382.52,2026-01-14 10:00:00
33.28,63.89,1,0,0,1171.35,2026-01-14 11:00:00
23.98,60.52,1,0,0,1311.89,2026-01-14 12:00:00
23.36,44.2,1,1,0,1227.54,2026-01-14 13:00:00
30.47,52.49,1,0,0,1160.83,2026-01-14 14:00:00
29.37,58.85,1,1,1,1403.95,2026-01-14 15:00:00
28.87,50.32,1,0,1,1381.24,2026-01-14 16:00:00
28.89,64.8,0,1,1,138.73,2026-01-14 17:00:00
26.96,72.25,1,1,0,1247.41,2026-01-14 18:00:00
24.31,69.75,0,0,1,130.25,2026-01-14 19:00:00
27.23,58.29,0,1,0,29.33,2026-01-14 20:00:00
24.97,71.93,1,1,0,1355.79,2026-01-14 21:00:00
29.93,61.19,0,1,1,157.78,2026-01-14 22:00:00
26.56,57.3,0,0,0,13.82,2026-01-14 23:00:00
24.52,55.09,0,1,0,30.27,2026-01-15 00:00:00
26.04,57.58,1,1,1,1410.73,2026-01-15 01:00:00
28.24,56.89,1,1,0,1233.91,2026-01-15 02:00:00
25.31,61.36,1,1,1,1263.11,2026-01-15 03:00:00
24.53,61.28,1,1,0,1231.2,2026-01-15 04:00:00
27.73,60.02,1,1,1,1023.33,2026-01-15 05:00:00
27.73,63.5,0,1,0,21.16,2026-01-15 06:00:00
25.48,69.53,1,1,0,1174.61,2026-01-15 07:00:00
25.59,67.6,1,1,1,1477.73,2026-01-15 08:00:00
27.7,48.12,1,1,0,1234.66,2026-01-15 09:00:00
22.66,39.57,0,1,0,39.42,2026-01-15 10:00:00
22.78,67.47,1,1,0,1228.32,2026-01-15 11:00:00
24.84,49.06,1,0,0,1113.37,2026-01-15 12:00:00
26.36,58.2,0,1,0,31.63,2026-01-15 13:00:00
27.93,50.64,1,1,0,1260.54,2026-01-15 14:00:00
31.43,45.58,0,1,1,130.72,2026-01-15 15:00:00
29.57,64.33,0,1,0,46.71,2026-01-15 16:00:00
26.52,66.07,1,1,0,1240.82,2026-01-15 17:00:00
26.94,55.39,0,1,0,31.79,2026-01-15 18:00:00
23.99,39.27,1,0,0,1293.23,2026-01-15 19:00:00
26.94,55.63,1,1,1,1362.45,2026-01-15 20:00:00
26.13,63.13,0,1,0,29.31,2026-01-15 21:00:00
27.97,48.17,1,1,1,1305.53,2026-01-15 22:00:00
24.52,61.47,0,1,0,32.07,2026-01-15 23:00:00
28.56,59.88,0,1,1,115.37,2026-01-16 00:00:00
31.6,64.63,0,1,0,28.68,2026-01-16 01:00:00
26.67,60.96,0,0,1,112.78,2026-01-16 02:00:00
28.21,52.22,0,0,0,21.47,2026-01-16 03:00:00
29.07,69.57,1,0,0,1136.82,2026-01-16 04:00:00
25.8,58.73,1,1,0,1246.79,2026-01-16 05:00:00
27.67,59.78,0,1,0,32.02,2026-01-16 06:00:00
27.04,52.53,1,1,1,1294.0,2026-01-16 07:00:00
27.29,56.45,1,1,0,1215.24,2026-01-16 08:00:00
24.68,52.92,1,1,0,1184.98,2026-01-16 09:00:00
27.07,58.62,1,1,1,1249.28,2026-01-16 10:00:00
28.49,73.69,0,1,0,30.54,2026-01-16 11:00:00
31.35,49.02,0,1,1,133.55,2026-01-16 12:00:00
29.88,47.09,1,1,1,1478.4,2026-01-16 13:00:00
33.46,71.77,1,1,0,1157.38,2026-01-16 14:00:00
24.7,58.33,0,0,1,115.88,2026-01-16 15:00:00
29.62,54.65,0,1,0,38.63,2026-01-16 16:00:00
27.55,68.32,1,0,0,1290.45,2026-01-16 17:00:00
33.57,55.16,1,1,0,1292.1,2026-01-16 18:00:00
24.58,74.61,1,1,0,1270.65,2026-01-16 19:00:00
24.48,65.42,1,1,1,1208.25,2026-01-16 20:00:00
25.2,56.1,0,0,1,126.05,2026-01-16 21:00:00
20.63,77.26,1,1,0,1127.94,2026-01-16 22:00:00
25.42,55.15,1,0,0,1186.1,2026-01-16 23:00:00
24.72,65.94,0,1,1,160.64,2026-01-17 00:00:00
27.45,62.39,1,0,0,1305.5,2026-01-17 01:00:00
28.03,70.41,1,1,0,1241.75,2026-01-17 02:00:00
32.63,72.49,0,1,0,30.65,2026-01-17 03:00:00
29.85,60.26,1,1,1,1363.24,2026-01-17 04:00:00
25.27,53.97,1,0,0,1224.16,2026-01-17 05:00:00
24.3,63.68,1,0,1,1075.59,2026-01-17 06:00:00
28.48,54.58,0,1,1,144.74,2026-01-17 07:00:00
23.04,76.11,0,1,0,38.1,2026-01-17 08:00:00
32.49,61.09,1,1,0,1346.44,2026-01-17 09:00:00
30.54,57.08,0,0,1,131.22,2026-01-17 10:00:00
25.59,61.48,1,1,0,911.03,2026-01-17 11:00:00
21.86,49.22,1,0,1,1364.01,2026-01-17 12:00:00
31.06,52.23,0,0,1,125.21,2026-01-17 13:00:00
26.66,69.6,1,1,1,1165.26,2026-01-17 14:00:00
30.71,54.74,1,1,1,1247.4,2026-01-17 15:00:00
22.22,51.62,0,0,1,131.23,2026-01-17 16:00:00
25.2,64.29,1,0,1,1283.42,2026-01-17 17:00:00
27.02,69.49,1,0,0,1293.63,2026-01-17 18:00:00
27.14,65.75,1,1,0,1167.63,2026-01-17 19:00:00
25.65,67.97,1,1,0,1019.19,2026-01-17 20:00:00
28.87,53.95,1,0,1,1318.92,2026-01-17 21:00:00
23.8,48.63,1,0,0,1194.01,2026-01-17 22:00:00
26.57,72.01,1,1,1,1276.22,2026-01-17 23:00:00
27.36,57.42,1,1,0,1216.51,2026-01-18 00:00:00
28.54,57.99,1,1,1,1347.35,2026-01-18 01:00:00
29.13,70.63,0,0,0,20.37,2026-01-18 02:00:00
23.63,64.45,1,0,1,1220.56,2026-01-18 03:00:00
22.4,63.65,0,1,0,31.49,2026-01-18 04:00:00
30.83,77.32,0,1,0,29.88,2026-01-18 05:00:00
28.0,54.85,0,0,0,20.72,2026-01-18 06:00:00
24.75,67.42,1,1,1,1413.91,2026-01-18 07:00:00
31.65,60.46,1,0,0,1266.53,2026-01-18 08:00:00
27.35,62.15,1,1,0,1222.38,2026-01-18 09:00:00
30.54,72.23,1,1,1,1152.4,2026-01-18 10:00:00
27.2,64.06,1,0,1,1275.26,2026-01-18 11:00:00
33.18,64.31,1,1,1,1294.32,2026-01-18 12:00:00
32.27,68.58,1,1,0,1069.91,2026-01-18 13:00:00
26.25,57.08,0,1,0,29.53,2026-01-18 14:00:00
29.91,53.29,0,1,1,150.32,2026-01-18 15:00:00
28.94,51.64,1,0,0,1370.93,2026-01-18 16:00:00
31.11,44.27,1,1,1,1260.41,2026-01-18 17:00:00
24.11,76.45,0,0,0,22.89,2026-01-18 18:00:00
29.06,51.17,0,1,0,33.99,2026-01-18 19:00:00
30.18,58.23,1,1,0,1299.16,2026-01-18 20:00:00
21.72,57.79,0,1,0,28.32,2026-01-18 21:00:00
23.45,62.46,1,0,0,1251.32,2026-01-18 22:00:00
20.88,66.53,1,1,0,1209.35,2026-01-18 23:00:00
26.19,66.88,1,1,1,1430.05,2026-01-19 00:00:00
29.15,55.34,0,1,0,27.87,2026-01-19 01:00:00
31.51,58.66,1,0,1,1380.48,2026-01-19 02:00:00
27.22,62.26,1,0,1,1285.07,2026-01-19 03:00:00
31.89,58.01,1,1,0,1219.23,2026-01-19 04:00:00
22.86,72.86,1,1,0,1218.42,2026-01-19 05:00:00
21.89,63.93,0,0,1,104.51,2026-01-19 06:00:00
26.83,65.88,1,1,1,1342.76,2026-01-19 07:00:00
28.15,65.3,1,1,1,1340.59,2026-01-19 08:00:00
